method_id,method,all,,LETOR 2.0 OHSUMED,,LETOR 3.0 OHSUMED,,LETOR 2.0 TD2003,,LETOR 3.0 TD2003,,LETOR 2.0 TD2004,,LETOR 3.0 TD2004,,NP2003,,NP2004,,HP2003,,HP2004,,MQ2007,,MQ2008,,MSLR-WEB10k,,MSLR-WEB30k,,Yandex IMC,,AOL,,Yahoo Set 1,,Yahoo Set 2,,WCL2R FS,,WCL2R NC,,,Mean,,Std. Dev,,Median,,Q1,,Q3,,Max,,Min,
,,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN
22,FocusedBoost,143,0.51048951,143,0.51048951,143,0.51048951,143,0.51048951,60,0.45,143,0.51048951,143,0.51048951,143,0.51048951,143,0.51048951,143,0.51048951,143,0.51048951,83,0.55421687,143,0.51048951,143,0.51048951,143,0.51048951,143,0.51048951,143,0.51048951,143,0.51048951,143,0.51048951,143,0.51048951,143,0.51048951,,135.85,0.509651403,21.7560911,0.016668855,143,0.51048951,143,0.51048951,143,0.51048951,143,0.55421687,60,0.45
23,FocusedNet,143,0.65734266,143,0.65734266,143,0.65734266,143,0.65734266,60,0.7,143,0.65734266,143,0.65734266,143,0.65734266,143,0.65734266,143,0.65734266,143,0.65734266,83,0.62650602,143,0.65734266,143,0.65734266,143,0.65734266,143,0.65734266,143,0.65734266,143,0.65734266,143,0.65734266,143,0.65734266,143,0.65734266,,135.85,0.657933695,21.7560911,0.011754915,143,0.65734266,143,0.65734266,143,0.65734266,143,0.7,60,0.62650602
24,FocusedSVM,143,0.38461538,143,0.38461538,143,0.38461538,143,0.38461538,60,0.28333333,143,0.38461538,143,0.38461538,143,0.38461538,143,0.38461538,143,0.38461538,143,0.38461538,83,0.45783133,143,0.38461538,143,0.38461538,143,0.38461538,143,0.38461538,143,0.38461538,143,0.38461538,143,0.38461538,143,0.38461538,143,0.38461538,,135.85,0.383212075,21.7560911,0.027909894,143,0.38461538,143,0.38461538,143,0.38461538,143,0.45783133,60,0.28333333
25,FP-Rank,20,0.9,20,0.9,20,0.9,20,0.9,20,0.9,20,0.9,20,0.9,20,0.9,20,0.9,20,0.9,20,0.9,20,0.9,,,20,0.9,20,0.9,20,0.9,20,0.9,20,0.9,20,0.9,20,0.9,20,0.9,,20,0.9,0,0,20,0.9,20,0.9,20,0.9,20,0.9,20,0.9
26,Frank,842,0.28978622,801,0.27340824,688,0.28924419,795,0.27924528,727,0.3301238,804,0.27487562,732,0.25,787,0.29733164,760,0.30526316,787,0.30368488,760,0.28815789,779,0.29781772,842,0.28978622,842,0.28978622,842,0.28978622,842,0.28978622,842,0.28978622,842,0.28978622,842,0.28978622,842,0.28978622,842,0.28978622,,799.9,0.28986142,46.04009122,0.014779578,802.5,0.28978622,774.25,0.288972615,842,0.291672575,842,0.3301238,688,0.25
27,FSMRank,482,0.7593361,482,0.7593361,328,0.7652439,482,0.7593361,482,0.7593361,482,0.7593361,448,0.78348214,466,0.77253219,400,0.7225,482,0.7593361,400,0.7225,439,0.77220957,411,0.77128954,482,0.7593361,482,0.7593361,482,0.7593361,482,0.7593361,482,0.7593361,482,0.7593361,482,0.7593361,482,0.7593361,,457.9,0.759056332,41.13988333,0.013807448,482,0.7593361,445.75,0.7593361,482,0.76081305,482,0.78348214,328,0.7225
28,FSMSVM,389,0.38303342,389,0.38303342,235,0.43829787,389,0.38303342,389,0.38303342,389,0.38303342,389,0.38303342,389,0.38303342,307,0.33224756,389,0.38303342,307,0.36807818,389,0.38303342,318,0.40566038,389,0.38303342,389,0.38303342,389,0.38303342,389,0.38303342,389,0.38303342,389,0.38303342,389,0.38303342,389,0.38303342,,369.55,0.383640936,41.61667334,0.017834826,389,0.38303342,389,0.38303342,389,0.38303342,389,0.43829787,235,0.33224756
29,GAS-E,389,0.42930591,389,0.42930591,235,0.41276596,389,0.42930591,389,0.42930591,389,0.42930591,389,0.42930591,389,0.42930591,307,0.45602606,389,0.42930591,307,0.42345277,389,0.42930591,318,0.42138365,389,0.42930591,389,0.42930591,389,0.42930591,389,0.42930591,389,0.42930591,389,0.42930591,389,0.42930591,389,0.42930591,,369.55,0.42912615,41.61667334,0.007361765,389,0.42930591,389,0.42930591,389,0.42930591,389,0.45602606,235,0.41276596
30,GP,12,0.58333333,12,0.58333333,12,0.58333333,12,0.58333333,12,0.58333333,12,0.58333333,12,0.58333333,12,0.58333333,12,0.58333333,12,0.58333333,12,0.58333333,12,0.58333333,12,0.58333333,12,0.58333333,12,0.58333333,12,0.58333333,12,0.58333333,12,0.58333333,12,0.58333333,6,0.66666667,6,0.5,,11.4,0.583333331,1.8,0.026352314,12,0.58333333,12,0.58333333,12,0.58333333,12,0.66666667,6,0.5
31,GPRank,379,0.77308707,379,0.77308707,225,0.79111111,379,0.77308707,264,0.80681818,379,0.77308707,269,0.72490706,379,0.77308707,379,0.77308707,379,0.77308707,379,0.77308707,379,0.77308707,379,0.77308707,379,0.77308707,379,0.77308707,379,0.77308707,379,0.77308707,379,0.77308707,379,0.77308707,379,0.77308707,379,0.77308707,,360.05,0.773265827,45.74874315,0.013753778,379,0.77308707,379,0.77308707,379,0.77308707,379,0.80681818,225,0.72490706
32,GRankRLS,38,0.28947368,38,0.28947368,38,0.28947368,38,0.28947368,38,0.28947368,38,0.28947368,38,0.28947368,38,0.28947368,38,0.28947368,38,0.28947368,38,0.28947368,16,0.0625,22,0.45454545,38,0.28947368,38,0.28947368,38,0.28947368,38,0.28947368,38,0.28947368,38,0.28947368,38,0.28947368,38,0.28947368,,36.1,0.286378585,5.778408085,0.062679402,38,0.28947368,38,0.28947368,38,0.28947368,38,0.45454545,16,0.0625
33,GroupCE,288,0.72569444,288,0.72569444,174,0.70114943,288,0.72569444,199,0.71356784,288,0.72569444,203,0.75862069,288,0.72569444,288,0.72569444,288,0.72569444,288,0.72569444,288,0.72569444,288,0.72569444,288,0.72569444,288,0.72569444,288,0.72569444,288,0.72569444,288,0.72569444,288,0.72569444,288,0.72569444,288,0.72569444,,273.6,0.725507172,34.63726317,0.009573266,288,0.72569444,288,0.72569444,288,0.72569444,288,0.75862069,174,0.70114943
34,GroupMLE,288,0.60069444,288,0.60069444,174,0.56321839,288,0.60069444,199,0.54271357,288,0.60069444,203,0.68965517,288,0.60069444,288,0.60069444,288,0.60069444,288,0.60069444,288,0.60069444,288,0.60069444,288,0.60069444,288,0.60069444,288,0.60069444,288,0.60069444,288,0.60069444,288,0.60069444,288,0.60069444,288,0.60069444,,273.6,0.600369631,34.63726317,0.025177507,288,0.60069444,288,0.60069444,288,0.60069444,288,0.68965517,174,0.54271357
35,IntervalRank,118,0.43220339,118,0.43220339,,,118,0.43220339,118,0.43220339,118,0.43220339,118,0.43220339,118,0.43220339,118,0.43220339,118,0.43220339,118,0.43220339,118,0.43220339,118,0.43220339,118,0.43220339,118,0.43220339,118,0.43220339,118,0.43220339,118,0.43220339,118,0.43220339,118,0.43220339,118,0.43220339,,118,0.43220339,0,1.11E-16,118,0.43220339,118,0.43220339,118,0.43220339,118,0.43220339,118,0.43220339
36,IPRank,423,0.85106383,408,0.8504902,269,0.82527881,407,0.86977887,308,0.88311688,410,0.84878049,313,0.82108626,423,0.85106383,423,0.85106383,423,0.85106383,423,0.85106383,423,0.85106383,423,0.85106383,423,0.85106383,423,0.85106383,423,0.85106383,423,0.85106383,423,0.85106383,423,0.85106383,423,0.85106383,423,0.85106383,,401.85,0.850671257,45.13565664,0.012131845,423,0.85106383,409.5,0.85106383,423,0.85106383,423,0.88311688,269,0.82108626
37,KeepRank,104,0.53846154,104,0.53846154,66,0.5,104,0.53846154,72,0.5,104,0.53846154,70,0.61428571,104,0.53846154,104,0.53846154,104,0.53846154,104,0.53846154,104,0.53846154,104,0.53846154,104,0.53846154,104,0.53846154,104,0.53846154,104,0.53846154,104,0.53846154,104,0.53846154,104,0.53846154,104,0.53846154,,98.8,0.538406595,12.41611856,0.02086603,104,0.53846154,104,0.53846154,104,0.53846154,104,0.61428571,66,0.5
38,Kernel-PCA,91,0.28571429,91,0.28571429,51,0.45098039,91,0.28571429,65,0.29230769,91,0.28571429,66,0.15151515,91,0.28571429,91,0.28571429,91,0.28571429,91,0.28571429,91,0.28571429,91,0.28571429,91,0.28571429,91,0.28571429,91,0.28571429,91,0.28571429,91,0.28571429,91,0.28571429,91,0.28571429,91,0.28571429,,86.45,0.287597308,11.15112102,0.047589311,91,0.28571429,91,0.28571429,91,0.28571429,91,0.45098039,51,0.15151515
39,KL-CRF,75,0.58666667,75,0.58666667,75,0.58666667,75,0.58666667,75,0.58666667,75,0.58666667,75,0.58666667,75,0.58666667,75,0.58666667,75,0.58666667,75,0.58666667,37,0.64864865,38,0.52631579,75,0.58666667,75,0.58666667,75,0.58666667,75,0.58666667,75,0.58666667,75,0.58666667,75,0.58666667,75,0.58666667,,71.25,0.586748225,11.25111106,0.019344071,75,0.58666667,75,0.58666667,75,0.58666667,75,0.64864865,37,0.52631579
40,Ridge Regression,341,0.34604106,653,0.34762634,499,0.37675351,653,0.34762634,538,0.32156134,653,0.34762634,543,0.4106814,598,0.31103679,571,0.31523643,598,0.31939799,571,0.38704028,653,0.34762634,653,0.34762634,653,0.34762634,653,0.34762634,653,0.34762634,653,0.34762634,653,0.34762634,653,0.34762634,653,0.34762634,653,0.34762634,,620.35,0.348042508,48.58937641,0.022625707,653,0.34762634,591.25,0.34762634,653,0.34762634,653,0.4106814,499,0.31103679
41,LAC-MR-OR,235,0.76170213,220,0.75,197,0.75634518,219,0.74885845,203,0.74876847,222,0.74774775,201,0.76119403,219,0.74885845,213,0.78403756,220,0.77727273,213,0.78403756,235,0.76170213,235,0.76170213,235,0.76170213,235,0.76170213,235,0.76170213,235,0.76170213,235,0.76170213,235,0.76170213,229,0.75982533,229,0.77292576,,223.25,0.761674416,12.31614794,0.010553395,225.5,0.76170213,217.5,0.754758885,235,0.76170213,235,0.78403756,197,0.74774775
42,LambdaMART,109,0.56880734,109,0.56880734,109,0.56880734,109,0.56880734,109,0.56880734,109,0.56880734,47,0.65957447,109,0.56880734,109,0.56880734,109,0.56880734,109,0.56880734,68,0.51470588,109,0.56880734,103,0.5631068,109,0.56880734,109,0.56880734,109,0.56880734,109,0.56880734,109,0.56880734,109,0.56880734,109,0.56880734,,103.55,0.570355597,15.75904502,0.023611643,109,0.56880734,109,0.56880734,109,0.56880734,109,0.65957447,47,0.51470588
43,LambdaNeuralRank,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,,,,,15,1,15,1,15,1,15,1,,15,1,0,0,15,1,15,1,15,1,15,1,15,1
44,LambdaRank,24,0.41666667,24,0.41666667,24,0.41666667,24,0.41666667,24,0.41666667,24,0.41666667,24,0.41666667,24,0.41666667,24,0.41666667,24,0.41666667,24,0.41666667,24,0.41666667,24,0.41666667,24,0.41666667,24,0.41666667,9,0.77777778,9,0.77777778,15,0.2,24,0.41666667,24,0.41666667,24,0.41666667,,22.05,0.441944448,4.769433929,0.121442907,24,0.41666667,24,0.41666667,24,0.41666667,24,0.77777778,9,0.2
45,LARF,379,0.98680739,379,0.98680739,225,0.99555556,379,0.98680739,264,0.98484848,379,0.98680739,269,0.98141264,379,0.98680739,379,0.98680739,379,0.98680739,379,0.98680739,379,0.98680739,379,0.98680739,379,0.98680739,379,0.98680739,379,0.98680739,379,0.98680739,379,0.98680739,379,0.98680739,379,0.98680739,379,0.98680739,,360.05,0.986877116,45.74874315,0.002338524,379,0.98680739,379,0.98680739,379,0.98680739,379,0.99555556,225,0.98141264
46,ListMLE,240,0.0125,240,0.0125,126,0,240,0.0125,179,0.01675978,240,0.0125,183,0.01639344,240,0.0125,240,0.0125,240,0.0125,240,0.0125,240,0.0125,240,0.0125,240,0.0125,240,0.0125,240,0.0125,240,0.0125,240,0.0125,232,0.01293103,240,0.0125,240,0.0125,,228,0.012304213,29.28310093,0.003073872,240,0.0125,240,0.0125,240,0.0125,240,0.01675978,126,0
47,ListNet,931,0.49516649,890,0.48988764,777,0.54954955,884,0.47171946,816,0.48529412,893,0.49832027,821,0.52375152,876,0.48515982,849,0.4770318,876,0.46803653,849,0.5041225,850,0.49764706,860,0.49883721,931,0.49516649,931,0.49516649,931,0.49516649,931,0.49516649,931,0.49516649,931,0.49516649,931,0.49516649,931,0.49516649,,884.45,0.49553447,45.90040849,0.016914232,887,0.49516649,849.75,0.48873926,931,0.497815363,931,0.54954955,777,0.46803653
